 Time, Alt, Temp, Speed, 
  6.17999986186624, 0.803334534168243, 304.636623150347, -8.69169065254027E-06, 
  11.2199997492135, 2.78034353256226, 304.655021682933, 2.77067996772647, 
 Time, Alt, Temp, Speed, 
  7.53999983146787, 0.803334534168243, 304.670645624468, -5.49268728207153E-05, 
  12.5799997188151, 2.78034782409668, 304.690099076218, 2.77068314629192, 
  17.6199996061623, 28.3307285308838, 304.717318822881, 5.22863446532868, 
  22.6599994935095, 53.7221298217773, 304.749418658506, 5.01407090112703, 
  27.6999993808568, 78.956169128418, 304.781534001046, 5.08260482784424, 
  32.739999268204, 104.214988708496, 304.811550813668, 5.07709847790541, 
  37.7799991555512, 129.451232910156, 304.837841430627, 5.02884545987834, 
  42.8199990428984, 154.643127441406, 304.85952333906, 4.98101292572041, 
  47.8599989302456, 179.809631347656, 304.876173923914, 4.93372897151771, 
  52.8999988175929, 204.985321044922, 304.887665327679, 4.90573404946777, 
  57.9399987049401, 230.165603637695, 304.894084987085, 4.97296711496816, 
  62.9799985922873, 255.376220703125, 304.895601867996, 5.04035615644021, 
  68.0199984796345, 280.610321044922, 304.892267915407, 5.10494324826307, 
  73.0599983669817, 305.854156494141, 304.884567548161, 5.05893287640248, 
  78.099998254329, 331.090118408203, 304.87272293808, 5.01098167714692, 
  83.1399981416762, 356.280151367188, 304.857001774823, 4.96396276247965, 
  88.1799980290234, 381.441589355469, 304.837726165135, 4.9163443017036, 
  93.2199979163706, 406.617431640625, 304.818382651891, 4.92641309976739, 
  98.2599978037179, 431.789306640625, 304.800197617333, 4.9923750960721, 
  103.299997691065, 457.035552978516, 304.782176366958, 5.0576687215087, 
  108.339997578412, 482.274963378906, 304.763715469142, 5.09928885814455, 
  113.37999746576, 507.532257080078, 304.745752201133, 5.05262956180577, 
  118.419997353107, 532.738037109375, 304.727547276043, 5.00789202882827, 
  123.459997240454, 557.936401367188, 304.707521967126, 4.96394900355607, 
  128.499997127801, 583.120056152344, 304.685827873203, 4.91763458131456, 
  133.539997015148, 608.274108886719, 304.662055171453, 4.92705919114329, 
  138.579996902496, 633.456848144531, 304.636486986165, 4.99254529271329, 
  143.619996789843, 658.669372558594, 304.608789934552, 5.05615699141286, 
  148.65999667719, 683.912414550781, 304.577640947726, 5.09842402205128, 
  153.699996564537, 709.173095703125, 304.545347580296, 5.05340747307896, 
  158.739996451885, 734.390502929688, 304.514271216356, 5.01010955769935, 
  163.779996339232, 759.679321289063, 304.482390460338, 4.96583903697635, 
  168.819996226579, 785.0068359375, 304.448780912129, 4.92138087913099, 
  173.859996113926, 810.315002441406, 304.413636927146, 4.91992392700428, 
  178.899996001273, 835.671020507813, 304.376972495261, 4.98588850976785, 
  183.939995888621, 861.041870117188, 304.339085406839, 5.0465352865595, 
  188.979995775968, 886.471069335938, 304.299778714171, 5.10529625715711, 
  194.019995663315, 911.897766113281, 304.259102957131, 5.0689770483129, 
  199.059995550662, 937.279968261719, 304.217202492917, 5.02749599361962, 
  204.09999543801, 962.682189941406, 304.173704764341, 4.98520790423359, 
  209.130029505268, 987.977783203125, 304.129100044073, 4.94300872785145, 
  214.102006933201, 1013.06573486328, 304.075994902591, 4.95174788666962, 
  219.22200681876, 1038.89990234375, 304.009957057066, 4.9631232666611, 
  224.342006704319, 1064.70922851563, 303.941215394757, 4.97817198356243, 
  229.462006589878, 1090.5390625, 303.870449642914, 4.98643834249383, 
  234.582006475437, 1116.36340332031, 303.797844121103, 5.00136124848284, 
  239.702006360996, 1142.18542480469, 303.723566507855, 5.01567405714235, 
  244.822006246555, 1167.98693847656, 303.648070198877, 5.02523772588989, 
  249.942006132114, 1193.78759765625, 303.571015346323, 5.06928327010158, 
  255.062006017673, 1219.5419921875, 303.492886414668, 5.11367854726315, 
  260.182005903232, 1245.34069824219, 303.412973690042, 5.12797156498395, 
  265.302005788792, 1271.16101074219, 303.332019169449, 5.1177572451691, 
  270.422005674351, 1296.98059082031, 303.249856750837, 5.09240559052267, 
  275.54200555991, 1322.77905273438, 303.166401787393, 5.07549844748205, 
  280.662005445469, 1348.61950683594, 303.081692330419, 5.04873814390574, 
  285.782005331028, 1374.45983886719, 302.995475609962, 5.02047168626841, 
  290.902005216587, 1400.25622558594, 302.908406004908, 5.00158963497185, 
  296.022005102146, 1426.029296875, 302.819938511662, 4.95990767800598, 
  301.142004987705, 1451.65771484375, 302.730451038791, 4.89892293573037, 
  306.262004873264, 1477.30944824219, 302.639958741818, 4.88839088896543, 
  311.382004758823, 1502.96252441406, 302.5483206587, 4.89409135947867, 
  316.502004644382, 1528.61572265625, 302.455507866117, 4.93110380434968, 
  321.622004529941, 1554.28686523438, 302.361547757723, 4.95158376820581, 
  326.742004415501, 1579.8994140625, 302.266412182938, 4.96642931443502, 
  331.86200430106, 1605.55297851563, 302.17021482851, 5.00661349643609, 
  336.982004186619, 1631.15869140625, 302.072920094095, 5.02300756023301, 
  342.102004072178, 1656.80786132813, 301.974426637607, 5.04557640224124, 
  347.222003957737, 1682.40551757813, 301.874851068984, 5.05670987901374, 
  352.342003843296, 1708.04748535156, 301.77417406398, 5.07129864936623, 
  357.462003728855, 1733.60205078125, 301.672441555326, 5.11083955837567, 
  362.582003614414, 1759.22583007813, 301.569607987761, 5.12369179048329, 
  367.702003499973, 1784.81628417969, 301.465653311069, 5.11960764385103, 
  372.822003385532, 1810.41381835938, 301.360736334137, 5.07811382183631, 
  377.942003271091, 1836.05541992188, 301.254527490903, 5.03494919165051, 
  383.06200315665, 1861.70251464844, 301.147455221492, 4.99257796390924, 
